id,time,friends,followers
57659707,1282941,13,11
152629331,1081178,12,12
57652208,465024,13,13
581243788,3925466,11,10
210196544,376703,12,11
833358881,9327455,9,7
581704835,2571032,10,10
666399881,3926873,10,9
130465787,438531,12,11
358078257,9327429,10,9
57650877,5006585,13,13
57648470,0,16,17
58445282,368014,10,9
29653245,3587095,12,11
57645607,407206,16,16
57649623,543350,14,14
40129607,3926573,14,14
152578866,10751461,13,12
12145202,407298,11,11
7012581,465009,14,14
65264907,1283653,16,16
152730109,367341,13,13
54912254,880535,14,14
333148545,1885878,10,8
580910232,10752633,10,10
302481877,9327393,9,9
5177038,375311,14,14
806259970,9327449,9,7
152931891,2003132,13,13
22307002,367674,13,13
37661273,1886215,13,12
147916837,375119,12,11
4865166,3925542,13,12
240138320,1283488,11,11
68221417,710540,15,15
601660007,2570645,12,12
582399231,5018143,10,11
659078959,1289870,11,11
36309247,879545,14,14
152834896,1080366,12,11
32681895,393143,14,14
580893528,368082,13,12
152619948,5005572,11,10
57650829,2570610,14,14
152693925,376761,12,12
152674799,5005539,10,9
152924375,1082164,8,9
152478699,2003314,12,12
322661552,3588991,12,12
210243816,421307,14,14
582846555,1886156,11,11
65271789,423294,13,12
220118701,428625,11,11
175152098,3588015,13,12
50610290,470259,12,12
44754932,10754161,11,11
58105523,407384,14,14
812448728,9328148,13,13
57647249,1284055,14,14
485533828,7683597,10,9
43699922,1080344,13,11
231023028,1886125,12,11
57647892,375782,15,15
152663332,382576,11,10
210222863,392471,13,12
152858394,3587932,14,14
152900172,1081518,9,8
44759946,1283164,14,14
57652067,1284055,13,12
152812397,9328394,11,11
833480632,9327433,9,9
18515614,428202,16,16
130467540,5204813,13,12
54240865,376020,11,10
581059278,1511907,9,8
27019571,464786,14,14
581958138,2572580,11,11
152933059,3928259,10,8
580878840,2003126,12,12
