id,time,friends,followers
353368533,172036,8,7
372588055,295583,9,9
571772779,146276,8,6
701008125,670486,7,3
745836950,223967,7,1
536297896,343414,11,10
229683290,155188,8,4
535996571,131243,7,2
583035372,138215,6,5
701942901,137679,7,6
299185135,201018,7,6
674256122,161489,7,7
836611326,461279,6,2
31489312,152091,13,10
20099357,149376,12,11
308874335,304907,8,5
448846527,263817,10,10
393251108,338852,9,7
155554842,159859,8,6
39354458,205233,10,8
836611853,135292,4,1
449018250,210934,10,6
111441438,344620,13,13
12481915,229371,9,6
20782584,169005,11,9
319318815,175971,11,11
644414024,161176,9,8
85796713,166678,9,10
836611807,205791,6,3
836611437,378175,3,1
113062045,3411736,12,11
68152834,158217,8,5
344450605,140653,9,10
13919675,150260,10,8
452470023,138749,7,8
129366520,175638,8,9
814943523,131423,7,7
182310269,133123,11,10
497213408,175908,9,7
132552104,149298,8,13
155792714,225754,10,9
701079777,166385,8,3
115058272,167215,13,13
149541252,209465,9,7
127303013,0,1,21
448986757,154466,10,7
221063573,153185,9,3
176077966,151363,11,7
121024484,159600,11,11
449662007,141410,9,9
164862208,1659068,10,7
505726385,164245,10,10
448085288,145863,7,4
182310132,158986,9,7
144531083,191952,13,13
72051947,159137,9,8
182204028,140109,12,11
129571195,476269,8,7
114401108,303504,8,10
563355559,141996,9,6
578733239,208282,8,6
809472966,133172,6,1
299235568,231218,8,4
32401394,147356,12,12
44806705,388854,11,8
299338180,289651,7,1
298806591,210147,11,11
746057520,132191,8,8
39782443,155672,12,12
299641554,165884,10,9
5403378,217471,7,8
16822125,205798,9,8
674416357,141570,8,7
834510852,209075,8,8
370858705,211991,9,7
304780210,193861,8,5
29652337,204704,11,10
809488353,167527,8,7
745837750,225049,9,6
299166156,580205,8,5
332518052,135812,8,7
232253076,202226,11,9
233381247,131498,11,10
685834204,228396,7,7
75153504,245417,9,11
459314390,236966,7,2
21580576,132520,10,7
182370669,245096,12,10
835804867,145633,11,10
579015742,460369,9,6
31501134,622476,10,9
833371350,3605541,4,11
47273722,154056,12,11
311482684,133049,10,7
299390908,155428,10,5
272048183,166779,9,8
215861859,168727,8,5
