id,time,friends,followers
215942657,84105,10,10
57650146,736,14,14
679103631,1526,10,9
98766638,9172,11,12
42108578,16574,9,9
57646404,5921,14,14
60693149,203,15,15
75361310,22019,12,11
57652868,2503,12,12
116272003,2372,13,13
152818805,807,12,12
425213741,6086,8,8
58415696,4177,12,13
101699192,791,14,14
57648680,2699,14,13
210192041,1369,12,12
601878299,2224,9,9
152890769,9391,12,12
5833910,20498,13,13
3385094,1019,8,8
155851978,4397,11,11
728419084,2712,9,6
58051250,347,12,12
57651362,5429,11,11
581344432,56560,9,8
57645003,349,15,15
152660789,6827,13,12
80439597,14830,13,14
97439961,409,13,13
828447125,962,11,11
64881322,6801,12,12
26001831,562,14,14
152890678,6822,13,12
723725526,1153,12,10
581927351,3569,11,10
152576892,228,13,12
415576953,68,9,9
582017902,12662,11,11
44759409,0,15,15
298832549,411,9,9
166486579,254,12,12
