id,time,friends,followers
382944962,9403,6,5
61795325,3973,12,13
151780243,14958,10,10
73577836,0,16,16
836610340,4321,5,8
453801195,2691,9,7
48144435,894,11,10
5917829,15260,10,10
228100354,3627,8,5
59967803,9021,12,12
26630201,2260,10,9
159805884,15512,12,10
311600033,2530,9,10
138193471,14102,11,12
667114129,25057,14,13
689362238,5399,10,11
37605664,16338,11,11
434663278,5737,9,9
836611493,265,6,6
28039280,5476,11,11
24175885,1000,12,11
57377325,1660,12,11
176102204,16715,9,8
15079949,10812,7,8
578914333,350,12,12
167868069,5612,8,9
216094100,9178,11,11
166585742,2264,11,10
648525400,7989,10,10
161096000,2214,13,13
27929513,6941,9,9
44752178,4769,10,8
72052774,1953,10,11
449062466,18118,10,9
