id,time,friends,followers
579020947,1741,8,6
182095432,713,11,11
379363308,284,9,9
29837471,248,11,9
35016952,9887,11,11
172590529,163,11,8
4770091,3357,12,12
47399918,3089,10,9
39624974,2047,10,11
44654915,8898,10,8
166252668,104,10,8
59442581,1478,10,9
52060956,10179,13,10
233556879,24719,10,8
75165234,0,13,17
23234033,13520,11,9
299445243,261,7,7
111424069,12557,11,11
464691272,77,10,8
448339696,365,8,4
836611687,1098,5,8
133440110,4214,11,11
23093008,4503,11,9
166640008,162,11,8
155018490,238,10,9
307231105,16464,9,8
105130184,20508,12,9
434657191,176,10,8
72870338,456,12,11
383798916,10739,10,10
299462113,33714,7,6
128135268,10988,9,11
13460401,19521,9,10
124768647,4660,11,11
148800087,272,12,10
322959103,20014,12,12
231198972,3210,11,11
22032448,187,12,10
118025265,3706,8,8
365159179,4126,11,11
72051753,797,9,10
129004186,210,10,11
22023240,91,12,11
