id,time,friends,followers
364243149,49994,9,5
833687343,52115,5,4
152933446,26622,11,11
109264914,18789,12,11
734728847,364967,7,5
28180218,25954,12,9
97137082,92380,10,9
486446216,61750,9,7
357564176,34816,10,11
152656625,32846,9,12
69892479,50996,10,9
230159568,25025,8,7
152941406,30375,9,9
152931958,100892,8,10
233748648,177904,6,3
421479600,26780,8,6
42538782,35282,11,9
152892415,11578,9,7
42169011,80565,9,7
152934939,434120,11,9
78363542,650418,11,12
736114994,58272,7,8
81379062,33277,11,9
38734514,66135,11,13
152709654,17832,9,8
152818920,16636,8,7
35195913,25999,14,14
758040836,7403,10,10
104267464,62747,10,11
666821786,52368,7,4
363245578,14521,10,9
581323517,51090,9,7
51556401,24983,12,10
18381417,19524,13,12
152502144,26775,8,11
27779957,20696,13,13
192305194,97068,9,7
24664149,42038,10,10
52062712,100236,10,5
6852339,67420,16,16
73849981,66711,11,11
152577818,88010,11,10
58367903,25831,10,10
421485750,33586,8,6
175159712,17477,12,13
527587467,89684,10,8
190227359,206977,7,8
207355799,58444,10,9
128024835,14714,10,11
505457194,13820,7,5
21211621,43698,8,5
58268846,64072,8,3
58343586,51247,9,7
40462771,252962,14,14
611813897,50132,9,8
29861246,26209,13,13
52027603,158761,11,10
38499737,50901,11,10
152956448,25845,8,9
80759689,95158,11,8
82018931,135885,9,6
58257878,73259,10,10
223787784,210461,6,1
152700200,28520,9,9
23438607,13782,12,10
421534568,80763,8,7
82582222,39619,11,10
754804618,13326,7,5
49311904,20442,10,9
137057184,91331,12,10
316745572,76936,10,10
210277822,264784,13,13
58332523,76843,8,7
152956278,22325,9,8
50646179,24985,11,11
300305171,19448,9,6
58096101,435725,12,11
23310989,19805,11,13
57611211,15592,10,8
152890282,27128,8,9
27729913,68561,11,14
128275278,9266,10,12
102342284,35248,11,10
58381306,58253,13,15
152733277,39204,13,12
12856097,0,11,15
442167698,66256,10,9
152856726,28262,8,8
