id,time,friends,followers
57126476,42078,10,11
49355887,23947,13,12
43913743,34513,8,6
47467839,25787,8,8
33391954,9860,15,15
43803837,28782,10,7
44069551,35380,13,13
54259033,25922,13,11
24561456,19968,13,13
44720263,33187,11,10
127514348,23818,11,10
155312851,30174,11,8
65258780,24039,13,12
82739842,29245,11,9
8799380,32809,12,12
49057894,40725,10,9
61721110,14070,12,13
138244093,30655,14,13
36414532,30499,13,12
57127569,24553,12,10
135659849,30049,13,13
57807362,43981,13,11
50905885,29604,12,17
20624424,10703,10,11
57427975,28865,13,12
60893088,209471,11,11
6232487,32068,11,11
27557003,30015,13,11
44216887,203297,11,11
82512802,28918,10,10
75230584,38651,12,11
36886480,29285,13,12
231528546,32133,8,7
32311711,33425,13,12
11944040,11979,13,13
177264546,57453,7,6
62255342,97926,12,12
48750943,28139,13,9
44126958,30521,11,11
57408955,30208,13,12
4876847,32636,15,14
130329501,15780,11,11
231561618,75367,10,9
71231985,13482,13,13
49044087,25569,10,9
68947816,29635,12,10
15154299,10147,13,11
323252697,24257,8,7
68947979,39927,13,10
25984517,69559,13,10
129747666,46926,10,9
49051715,18129,12,10
57597218,86582,17,16
128674246,64498,11,13
48733072,60453,10,8
60933167,24888,12,11
89076856,13064,11,12
54181861,33770,13,12
302907887,31531,9,10
131746655,11143,8,6
44302885,28937,10,10
44238673,25146,9,5
17777957,30264,13,13
68950138,30121,12,12
48630839,29933,11,11
36743761,33501,13,11
3965433,18355,13,10
57126156,29329,12,12
34644389,48292,13,13
44656523,43685,13,14
49049164,30011,13,13
131182212,28640,12,11
132797197,28785,13,11
36703837,31985,13,13
45060201,29774,11,10
67818741,24286,12,10
61239869,29667,12,12
75356469,26130,13,12
68947393,27691,13,11
3611408,38413,11,9
50851061,29172,11,10
27690868,11532,14,14
44368203,25690,11,11
5305326,31941,13,13
44610385,24399,11,10
82528514,29296,12,11
26386472,18204,15,15
106442563,66796,10,11
48085674,44752,10,11
28573453,45380,12,12
113438969,11767,13,13
37316174,35847,13,13
60695821,28659,13,13
19961489,0,12,18
44335838,23798,10,8
