id,time,friends,followers
152515730,9453,8,8
601625019,2737,8,5
321290236,6956,8,6
580979044,194480,12,12
152565410,59435,13,12
758014803,27614,4,1
581343458,5666,6,7
724023425,311757,9,7
152534678,2020,12,10
758024299,7309,7,5
210223541,2780,13,13
227750132,329425,9,7
812532598,57247,9,9
152475464,8470,12,11
152573214,1564,7,1
57648574,62434,14,14
534232696,1457,9,9
133795823,312405,13,13
315623839,10787,7,6
152524817,287705,13,12
152476232,46333,6,7
152602972,1461,11,10
298858845,6775,8,9
521915411,139745,8,6
806315989,528,9,8
210261468,6131,14,14
683638148,94033,7,6
96523904,8996,11,10
634056131,5346,7,9
806259042,249856,7,7
758039227,1389,7,8
178914907,85968,10,10
10723952,4664,7,9
152712652,10996,13,12
44930051,15466,11,11
58423980,10121,8,10
57647194,34335,15,15
50880400,1744,13,10
581273814,4398,7,7
41981440,27267,12,11
757017828,30581,5,3
152542705,1485,9,8
8285650,13625,10,10
280151484,11481,9,7
833828556,7330,5,8
152500569,2864,8,6
421510915,1555,6,4
152914408,36914,12,13
152571818,17595,4,7
33451412,0,13,18
701499525,665,11,10
152514299,8904,8,9
108404457,192837,10,11
505450421,41628,10,9
62157833,6806,9,11
111955857,524045,12,12
152521091,43429,9,10
152572199,280129,11,10
806255654,279867,10,10
152448204,181116,5,1
41078534,60799,13,13
421468890,12489,9,9
131874890,3174,8,10
130228559,112694,8,8
122940886,369843,9,8
152502935,12413,9,7
152578727,4298,8,7
152817987,15782,11,9
82643211,58484,14,14
152687430,82345,10,9
15104225,369505,14,14
668716308,25577,6,1
149546681,94112,12,10
15770157,600856,11,9
152676925,2443,12,11
634020878,30130,7,3
58096101,15903,12,11
44759999,162203,13,13
390109991,606519,13,12
52228669,300833,10,10
624342677,61053,8,6
152573540,1082,10,9
581901994,27537,7,6
633983768,177830,6,2
581916888,11428,8,5
788843126,15053,12,12
57652690,27953,14,14
152503275,5160,11,11
