id,time,friends,followers
15246146,226295,8,8
37376273,110704,12,12
47028735,109660,8,8
50907765,197326,12,11
99394735,85105,10,11
505233592,97896,6,3
77959015,102088,5,5
581038754,146638,6,3
155830981,127061,11,10
152941089,86377,12,12
157817131,83937,8,11
163854506,121758,8,9
155829103,208544,8,6
581905821,105191,9,9
833833870,97467,7,8
599233645,250691,5,3
13737967,187287,12,12
152126335,105251,10,10
601733309,135604,9,7
152905359,83972,9,9
346926956,195950,7,4
788882896,83291,10,10
152811725,107917,11,10
836104424,165024,6,6
695217926,85872,7,5
805301060,82612,8,9
558598585,158487,6,3
199817051,135062,10,10
13363973,219637,13,13
581757389,139743,8,7
581034245,213420,6,5
199362396,90275,10,8
834299841,84124,8,6
582059720,83461,7,9
581139207,135069,8,6
34113961,100221,9,8
38232118,88367,10,8
135020369,84243,9,11
457974740,92620,8,7
38268724,132289,13,12
210253759,1628308,13,12
207097794,665218,5,3
785451047,83262,8,9
531142789,91219,7,7
21825194,83516,12,11
643015413,104656,8,8
152812345,113512,10,9
35714360,216194,13,13
581585526,3078647,6,10
213926992,120309,11,9
581051757,81179,8,7
478960537,106063,9,9
57651778,2219601,13,13
152926799,122026,10,10
834034788,105864,6,7
758020572,150449,5,3
32895687,83591,13,12
812454575,209233,6,3
130217439,0,4,17
57649872,83429,13,12
7141112,85000,10,8
581830280,113521,7,9
152855160,84446,12,11
833346099,198716,4,9
152801374,83708,9,9
301950035,108187,9,8
542038348,146947,7,6
443506340,80800,8,6
3874680,91233,12,10
45216459,100773,13,12
127700960,3244106,10,11
22790805,84759,11,11
291728701,132229,13,12
33943217,121069,13,13
312448619,87254,7,9
821074258,83920,7,9
581414140,84777,8,7
30012418,83356,12,12
581616025,123003,7,5
813396374,83931,6,8
42082652,413527,10,7
96600664,100942,11,11
112854094,109517,10,9
89278929,94933,7,9
605517234,88267,8,7
57651017,83798,14,14
167010761,86757,10,10
34170274,83216,17,18
223969609,118264,9,8
152812869,83221,13,12
580879314,85066,8,8
13129092,93756,10,14
