id,time,friends,followers
517092938,48330,8,8
8422428,32,12,11
164954375,935,8,6
111324244,246,12,11
152504832,647,10,7
129118665,14456,9,13
164606192,109,9,8
121102535,16119,9,10
251216299,2722,9,7
162022824,88,10,10
365300538,14230,9,9
72776279,32,11,10
129529483,18066,11,14
527879197,205,9,7
646760282,109867,7,6
137986632,903,9,9
364923239,20437,8,6
836611469,726,5,5
40459904,2423,11,9
138891850,418018,11,11
799859208,14426,7,8
511811594,547,9,8
836611851,949262,5,3
152785373,3415,8,5
129118663,15413,9,13
668404518,54333,7,4
92301223,0,8,19
192289735,7879,9,9
45640080,280,10,11
73651999,36357,10,10
217121739,2538,7,5
120988865,1900,11,11
192259324,905524,8,5
104976254,671,8,8
139741546,2600,9,7
689849897,19832,9,9
524277064,3525,10,10
165216500,709,10,9
164718983,24,10,10
484735873,571,8,6
