id,time,friends,followers
382944962,12462,6,5
156008814,16215,11,11
151994231,190396,8,7
504656387,16405,10,14
38312617,19477,12,11
30868946,24788,9,8
331192833,30923,9,8
215918762,21243,9,8
33784562,13937,10,12
560646752,550741,8,9
400304077,283942,11,9
67568509,24864,13,13
338767240,16715,10,8
312417681,14305,10,9
833390525,20567,10,11
571779753,17154,8,7
98422694,24698,13,14
62104856,15943,12,9
99009571,29561,12,11
97532645,54750,6,7
224311058,11954,9,9
350185820,16470,10,9
448162648,16994,9,9
98913738,12718,13,12
756948829,41793,8,7
23808803,22117,11,9
383714529,11456,11,10
684189857,10492,7,7
6576925,16473,10,8
258811514,23212,11,11
298811463,12829,9,9
168248995,12674,12,12
158340104,14019,11,11
545691164,65906,8,5
833966887,17275,10,9
742735287,21460,10,10
216698800,2247069,10,7
249555115,96759,10,8
2092650,13725,7,6
37605664,19457,11,11
153650839,19959,10,7
59687919,12900,9,8
27228910,0,12,20
241310642,29725,11,9
128068595,40186,9,9
595127213,17443,8,7
39523750,25782,11,12
8006095,17293,11,10
173052191,47213,10,9
437523161,16078,8,8
32402342,22990,13,13
266950086,14795,9,7
512983822,21835,10,10
388983603,98663,8,10
159823069,13248,14,14
25143689,26706,10,8
833803703,23641,7,7
579087960,25126,12,12
217176457,19282,11,10
424506663,12086,12,12
453149913,27323,12,12
399097990,10309,8,9
220556084,11960,11,10
155652683,24989,8,8
503134489,88380,9,9
37563742,14392,10,12
71609108,80632,8,6
51998004,19076,12,11
299162439,234768,8,6
835926730,70929,6,3
232061302,95694,10,9
104591848,15988,11,10
809537090,15269,8,8
279007364,24454,8,6
9547718,44023,9,9
166679971,14016,10,6
206745225,40919,11,9
149997645,78259,9,6
359499841,17111,11,8
749741355,37536,7,7
109097310,74240,11,11
22711973,38430,10,7
20036714,23212,11,10
177298002,29867,11,9
203280736,15229,10,7
149090144,31654,10,10
454786199,26383,7,6
76207826,31216,10,11
67611216,13302,10,10
135278688,31855,7,11
68079481,37682,11,11
742902263,41627,8,7
83545530,21234,11,10
579386783,19494,8,8
155672779,11807,12,11
