id,time,friends,followers
528857232,4201,13,13
308847319,34757,9,9
52060109,6929,12,9
201368698,3650,11,11
122097120,13313,10,13
144537777,4435,12,12
505667954,5816,9,7
514395052,4327,9,10
528432761,239,9,8
144547647,3149,14,14
162743842,5735,12,9
90009139,0,13,18
834019920,16519,8,9
110844829,84798,12,11
661461318,33520,12,12
130187194,55835,10,11
6170083,2358,12,11
528505724,15483,11,9
68412603,9404,13,10
600661637,73866,8,6
497201242,122,11,11
683207593,850,11,13
528856426,31159,12,11
528374978,10409,12,10
529071700,4816,10,11
528657890,374071,8,7
528574206,334,13,12
421461262,34525,11,12
223632157,7276,9,11
211008769,31865,9,9
55566346,25287,11,11
658695612,109,6,12
499887000,36863,11,10
