id,time,friends,followers
130029113,240,10,11
784003515,9283,3,1
92226648,132368,9,11
58280961,2404,10,10
834667037,3758,8,8
58183396,2646,9,7
74369683,340,10,9
152687317,13080,6,6
57610834,5655,9,6
62164849,507453,9,7
58157115,930,10,9
58009438,47718,7,6
601667604,9137,9,6
349995122,3169,9,6
65432803,31,10,10
58291633,902,8,7
58104787,2301,11,9
58155687,80242,13,12
152712693,6101,10,10
601628304,2030,9,10
130408798,5170,10,13
130229060,2188,8,10
137908040,12794,10,9
215749585,4480,9,7
112399404,336,10,9
836611605,1913,6,4
42531484,2130,10,7
834433473,2163,5,4
581696711,3913,9,5
10456164,7242,11,10
713963359,6909,8,7
270342408,30262,10,6
834474229,21365,5,3
696211516,1999,8,7
58443646,2277,10,9
18313501,40263,10,8
219829107,1141,11,9
128768442,3649,11,10
152954994,140,13,12
723587220,4643,9,8
349588996,2938,11,9
28823911,306,9,9
152723016,5703,9,9
186305598,2353,11,9
835801318,4548,7,7
69248226,3344,10,12
5988659,1898,13,11
75703355,2586,6,7
834612088,1857,5,5
58392458,2431,8,7
25894391,1929,11,11
163914646,4088,9,5
601657159,71635,10,10
152595207,415,13,12
50878174,2431,13,13
58109800,34396,10,9
298858131,10624,7,12
58084312,3831,12,9
127172454,0,9,21
805418895,337,6,9
58310239,2227,11,10
836611804,17150,5,2
13495838,228,10,8
57361800,7999,9,10
58272524,7823,9,9
541460285,11437,7,7
129117814,1829,9,17
756515700,12619,8,5
